230;KABUPATEN TRENGGALEK
231;KABUPATEN TULUNGAGUNG
232;KABUPATEN BLITAR
233;KABUPATEN KEDIRI
234;KABUPATEN MALANG
235;KABUPATEN LUMAJANG
236;KABUPATEN JEMBER
237;KABUPATEN BANYUWANGI
238;KABUPATEN BONDOWOSO
239;KABUPATEN SITUBONDO
240;KABUPATEN PROBOLINGGO
241;KABUPATEN PASURUAN
242;KABUPATEN SIDOARJO
243;KABUPATEN MOJOKERTO
244;KABUPATEN JOMBANG
245;KABUPATEN NGANJUK
246;KABUPATEN MADIUN
247;KABUPATEN MAGETAN
248;KABUPATEN NGAWI
249;KABUPATEN BOJONEGORO
250;KABUPATEN TUBAN
251;KABUPATEN LAMONGAN
252;KABUPATEN GRESIK
253;KABUPATEN BANGKALAN
254;KABUPATEN SAMPANG
255;KABUPATEN PAMEKASAN
256;KABUPATEN SUMENEP
257;KOTA KEDIRI
258;KOTA BLITAR
259;KOTA MALANG
260;KOTA PROBOLINGGO
261;KOTA PASURUAN
262;KOTA MOJOKERTO
263;KOTA MADIUN
264;KOTA SURABAYA
265;KOTA BATU
266;KABUPATEN PANDEGLANG
267;KABUPATEN LEBAK
268;KABUPATEN TANGERANG
269;KABUPATEN SERANG
270;KOTA TANGERANG
271;KOTA CILEGON
272;KOTA SERANG
273;KOTA TANGERANG SELATAN
274;KABUPATEN JEMBRANA
275;KABUPATEN TABANAN
276;KABUPATEN BADUNG
277;KABUPATEN GIANYAR
278;KABUPATEN KLUNGKUNG
279;KABUPATEN BANGLI
280;KABUPATEN KARANG ASEM
281;KABUPATEN BULELENG
282;KOTA DENPASAR
283;KABUPATEN LOMBOK BARAT
284;KABUPATEN LOMBOK TENGAH
285;KABUPATEN LOMBOK TIMUR
286;KABUPATEN SUMBAWA
287;KABUPATEN DOMPU
288;KABUPATEN BIMA
289;KABUPATEN SUMBAWA BARAT
290;KABUPATEN LOMBOK UTARA
291;KOTA MATARAM
292;KOTA BIMA
293;KABUPATEN SUMBA BARAT
294;KABUPATEN SUMBA TIMUR
295;KABUPATEN KUPANG
296;KABUPATEN TIMOR TENGAH SELATAN
297;KABUPATEN TIMOR TENGAH UTARA
298;KABUPATEN BELU
299;KABUPATEN ALOR
300;KABUPATEN LEMBATA
301;KABUPATEN FLORES TIMUR
302;KABUPATEN SIKKA
303;KABUPATEN ENDE
304;KABUPATEN NGADA
305;KABUPATEN MANGGARAI
306;KABUPATEN ROTE NDAO
307;KABUPATEN MANGGARAI BARAT
308;KABUPATEN SUMBA TENGAH
309;KABUPATEN SUMBA BARAT DAYA
310;KABUPATEN NAGEKEO
311;KABUPATEN MANGGARAI TIMUR
312;KABUPATEN SABU RAIJUA
313;KABUPATEN MALAKA
314;KOTA KUPANG
315;KABUPATEN SAMBAS
316;KABUPATEN BENGKAYANG
317;KABUPATEN LANDAK
318;KABUPATEN MEMPAWAH
319;KABUPATEN SANGGAU
320;KABUPATEN KETAPANG
321;KABUPATEN SINTANG
322;KABUPATEN KAPUAS HULU
323;KABUPATEN SEKADAU
324;KABUPATEN MELAWI
325;KABUPATEN KAYONG UTARA
326;KABUPATEN KUBU RAYA
327;KOTA PONTIANAK
328;KOTA SINGKAWANG
329;KABUPATEN KOTAWARINGIN BARAT
330;KABUPATEN KOTAWARINGIN TIMUR
331;KABUPATEN KAPUAS
332;KABUPATEN BARITO SELATAN
333;KABUPATEN BARITO UTARA
334;KABUPATEN SUKAMARA
335;KABUPATEN LAMANDAU
336;KABUPATEN SERUYAN
337;KABUPATEN KATINGAN
338;KABUPATEN PULANG PISAU
339;KABUPATEN GUNUNG MAS
340;KABUPATEN BARITO TIMUR
341;KABUPATEN MURUNG RAYA
342;KOTA PALANGKA RAYA
343;KABUPATEN TANAH LAUT
344;KABUPATEN KOTA BARU
345;KABUPATEN BANJAR
346;KABUPATEN BARITO KUALA
347;KABUPATEN TAPIN
348;KABUPATEN HULU SUNGAI SELATAN
349;KABUPATEN HULU SUNGAI TENGAH
350;KABUPATEN HULU SUNGAI UTARA
351;KABUPATEN TABALONG
352;KABUPATEN TANAH BUMBU
353;KABUPATEN BALANGAN
354;KOTA BANJARMASIN
355;KOTA BANJAR BARU
356;KABUPATEN PASER
357;KABUPATEN KUTAI BARAT
358;KABUPATEN KUTAI KARTANEGARA
359;KABUPATEN KUTAI TIMUR
360;KABUPATEN BERAU
361;KABUPATEN PENAJAM PASER UTARA
362;KABUPATEN MAHAKAM HULU
363;KOTA BALIKPAPAN
364;KOTA SAMARINDA
365;KOTA BONTANG
366;KABUPATEN MALINAU
367;KABUPATEN BULUNGAN
368;KABUPATEN TANA TIDUNG
369;KABUPATEN NUNUKAN
370;KOTA TARAKAN
371;KABUPATEN BOLAANG MONGONDOW
372;KABUPATEN MINAHASA
373;KABUPATEN KEPULAUAN SANGIHE
374;KABUPATEN KEPULAUAN TALAUD
375;KABUPATEN MINAHASA SELATAN
376;KABUPATEN MINAHASA UTARA
377;KABUPATEN BOLAANG MONGONDOW UTARA
378;KABUPATEN SIAU TAGULANDANG BIARO
379;KABUPATEN MINAHASA TENGGARA
380;KABUPATEN BOLAANG MONGONDOW SELATAN
381;KABUPATEN BOLAANG MONGONDOW TIMUR
382;KOTA MANADO
383;KOTA BITUNG
384;KOTA TOMOHON
385;KOTA KOTAMOBAGU
386;KABUPATEN BANGGAI KEPULAUAN
387;KABUPATEN BANGGAI
388;KABUPATEN MOROWALI
389;KABUPATEN POSO
390;KABUPATEN DONGGALA
391;KABUPATEN TOLI-TOLI
392;KABUPATEN BUOL
393;KABUPATEN PARIGI MOUTONG
394;KABUPATEN TOJO UNA-UNA
395;KABUPATEN SIGI
396;KABUPATEN BANGGAI LAUT
397;KABUPATEN MOROWALI UTARA
398;KOTA PALU
399;KABUPATEN KEPULAUAN SELAYAR
400;KABUPATEN BULUKUMBA
401;KABUPATEN BANTAENG
402;KABUPATEN JENEPONTO
403;KABUPATEN TAKALAR
404;KABUPATEN GOWA
405;KABUPATEN SINJAI
406;KABUPATEN MAROS
407;KABUPATEN PANGKAJENE DAN KEPULAUAN
408;KABUPATEN BARRU
409;KABUPATEN BONE
410;KABUPATEN SOPPENG
411;KABUPATEN WAJO
412;KABUPATEN SIDENRENG RAPPANG
413;KABUPATEN PINRANG
414;KABUPATEN ENREKANG
415;KABUPATEN LUWU
416;KABUPATEN TANA TORAJA
417;KABUPATEN LUWU UTARA
418;KABUPATEN LUWU TIMUR
419;KABUPATEN TORAJA UTARA
420;KOTA MAKASSAR
421;KOTA PAREPARE
422;KOTA PALOPO
423;KABUPATEN BUTON
424;KABUPATEN MUNA
425;KABUPATEN KONAWE
426;KABUPATEN KOLAKA
427;KABUPATEN KONAWE SELATAN
428;KABUPATEN BOMBANA
429;KABUPATEN WAKATOBI
430;KABUPATEN KOLAKA UTARA
431;KABUPATEN BUTON UTARA
432;KABUPATEN KONAWE UTARA
433;KABUPATEN KOLAKA TIMUR
434;KABUPATEN KONAWE KEPULAUAN
435;KABUPATEN MUNA BARAT
436;KABUPATEN BUTON TENGAH
437;KABUPATEN BUTON SELATAN
438;KOTA KENDARI
439;KOTA BAUBAU
440;KABUPATEN BOALEMO
441;KABUPATEN GORONTALO
442;KABUPATEN POHUWATO
443;KABUPATEN BONE BOLANGO
444;KABUPATEN GORONTALO UTARA
445;KOTA GORONTALO
446;KABUPATEN MAJENE
447;KABUPATEN POLEWALI MANDAR
448;KABUPATEN MAMASA
449;KABUPATEN MAMUJU
450;KABUPATEN MAMUJU UTARA
451;KABUPATEN MAMUJU TENGAH
452;KABUPATEN MALUKU TENGGARA BARAT
453;KABUPATEN MALUKU TENGGARA
454;KABUPATEN MALUKU TENGAH
455;KABUPATEN BURU
456;KABUPATEN KEPULAUAN ARU
457;KABUPATEN SERAM BAGIAN BARAT
458;KABUPATEN SERAM BAGIAN TIMUR
459;KABUPATEN MALUKU BARAT DAYA
460;KABUPATEN BURU SELATAN
461;KOTA AMBON
462;KOTA TUAL
463;KABUPATEN HALMAHERA BARAT
464;KABUPATEN HALMAHERA TENGAH
465;KABUPATEN KEPULAUAN SULA
466;KABUPATEN HALMAHERA SELATAN
467;KABUPATEN HALMAHERA UTARA
468;KABUPATEN HALMAHERA TIMUR
469;KABUPATEN PULAU MOROTAI
470;KABUPATEN PULAU TALIABU
471;KOTA TERNATE
472;KOTA TIDORE KEPULAUAN
473;KABUPATEN FAKFAK
474;KABUPATEN KAIMANA
475;KABUPATEN TELUK WONDAMA
476;KABUPATEN TELUK BINTUNI
477;KABUPATEN MANOKWARI
478;KABUPATEN SORONG SELATAN
479;KABUPATEN SORONG
480;KABUPATEN RAJA AMPAT
481;KABUPATEN TAMBRAUW
482;KABUPATEN MAYBRAT
483;KABUPATEN MANOKWARI SELATAN
484;KABUPATEN PEGUNUNGAN ARFAK
485;KOTA SORONG
486;KABUPATEN MERAUKE
487;KABUPATEN JAYAWIJAYA
488;KABUPATEN JAYAPURA
